Date,Price,Open,High,Low,Vol.,Change %
10/18/2022,48.07,48.54,48.64,47.13,69.27K,-0.97%
10/17/2022,48.54,48.64,48.64,47.41,121.67K,0.78%
10/14/2022,48.17,49.96,49.96,48.17,132.17K,-0.97%
10/13/2022,48.64,49.11,49.11,48.17,107.44K,0.59%
10/12/2022,48.35,48.26,48.35,47.69,474.59K,0.39%
10/11/2022,48.17,48.17,49.11,47.69,244.48K,0.00%
10/07/2022,48.17,48.07,48.64,47.69,79.79K,-1.35%
10/06/2022,48.83,50.05,50.05,48.17,286.84K,-3.72%
10/05/2022,50.72,50.53,50.9,48.73,97.86K,0.37%
10/04/2022,50.53,51,51.47,50.53,85.87K,-1.83%
10/03/2022,51.47,52.42,52.42,51,35.62K,-0.91%
09/30/2022,51.94,51.94,52.42,51.47,596.66K,-0.72%
09/29/2022,52.32,52.13,52.32,51,387.65K,0.18%
09/28/2022,52.23,51.94,52.42,50.05,169.83K,-0.18%
09/27/2022,52.32,50.05,52.32,49.02,120.99K,3.55%
09/26/2022,50.53,51.57,51.57,49.11,81.71K,-2.01%
09/23/2022,51.57,51.66,52.32,50.9,88.88K,0.18%
09/22/2022,51.47,51.66,51.66,51,60.45K,-0.91%
09/21/2022,51.94,52.51,52.51,51,41.19K,-0.54%
09/20/2022,52.23,53.83,53.83,51.94,113.86K,-2.64%
09/19/2022,53.64,54.78,54.78,52.89,210.41K,-0.35%
09/16/2022,53.83,55.72,55.72,52.89,155.61K,-0.87%
09/15/2022,54.3,52.89,56.57,52.89,286.56K,2.68%
09/14/2022,52.89,52.89,53.83,51.09,208.95K,1.82%
09/13/2022,51.94,49.58,51.94,49.49,111.13K,4.36%
09/12/2022,49.77,49.58,49.96,49.11,187.64K,0.57%
09/09/2022,49.49,49.58,49.58,48.64,349.46K,-0.57%
09/08/2022,49.77,49.11,49.87,49.11,91.76K,-0.19%
09/07/2022,49.87,48.92,50.05,48.17,268.90K,0.57%
09/06/2022,49.58,50.53,50.53,48.92,95.15K,-1.87%
09/05/2022,50.53,50.53,51,49.11,94.61K,1.71%
09/02/2022,49.68,51,51,49.68,29.11K,-2.41%
09/01/2022,50.9,50.05,51,48.92,109.36K,3.85%
08/31/2022,49.02,50.05,50.53,48.92,31.35K,-0.19%
08/30/2022,49.11,48.92,49.11,48.83,45.91K,0.39%
08/29/2022,48.92,50.05,50.05,48.92,59.71K,-2.08%
08/26/2022,49.96,49.11,49.96,48.64,59.82K,1.73%
08/25/2022,49.11,49.11,49.2,48.64,148.39K,0.00%
08/24/2022,49.11,49.58,50.05,49.11,23.87K,-1.14%
08/23/2022,49.68,50.05,50.05,49.11,383.98K,-0.75%
08/22/2022,50.05,49.02,50.05,48.64,101.17K,2.32%
08/19/2022,48.92,49.02,49.02,48.64,30.47K,-0.19%
08/18/2022,49.02,50.05,50.05,48.26,110.78K,-2.08%
08/17/2022,50.05,50.81,50.81,49.58,242.82K,-1.12%
08/16/2022,50.62,51.09,51.09,49.87,60.66K,-4.80%
08/15/2022,53.17,52.7,53.55,51.94,69.56K,2.36%
08/12/2022,51.94,51.94,52.7,51.47,74.32K,0.00%
08/10/2022,51.94,51.47,51.94,50.81,24.09K,2.23%
08/09/2022,50.81,50.53,51.47,50.05,632.40K,1.51%
08/08/2022,50.05,50.53,50.53,49.58,152.28K,0.00%
08/05/2022,50.05,49.58,50.53,49.58,158.36K,0.95%
08/04/2022,49.58,50.05,50.05,49.58,128.84K,0.00%
08/03/2022,49.58,50.05,50.05,49.58,30.97K,-0.38%
08/02/2022,49.77,50.15,50.15,49.2,46.71K,-0.57%
08/01/2022,50.05,49.2,50.62,49.2,42.09K,1.73%
07/29/2022,49.2,50.05,51,49.11,17.46K,-1.70%
07/28/2022,50.05,49.58,50.34,49.11,30.79K,1.92%
07/27/2022,49.11,50.53,50.53,49.11,71.31K,-1.89%
07/26/2022,50.05,50.05,51.47,49.11,121.70K,0.00%
07/25/2022,50.05,51,51,50.05,36.03K,-1.85%
07/22/2022,51,50.05,51,49.87,42.93K,0.37%
07/21/2022,50.81,51.94,54.78,50.81,21.20K,0.56%
07/20/2022,50.53,51.09,51.94,50.24,19.82K,-0.93%
07/19/2022,51,49.11,51.09,49.02,244.23K,3.85%
07/18/2022,49.11,48.83,49.11,48.83,43.71K,0.19%
07/15/2022,49.02,49.11,49.11,48.73,35.78K,0.97%
07/14/2022,48.54,48.83,48.83,48.54,15.39K,0.00%
07/12/2022,48.54,49.11,49.11,48.45,7.24K,-1.15%
07/11/2022,49.11,47.22,49.96,47.22,159.67K,3.38%
07/08/2022,47.5,47.22,47.5,47.22,24.90K,0.20%
07/07/2022,47.41,47.22,47.6,47.22,265.90K,0.20%
07/06/2022,47.32,47.22,47.69,46.94,327.51K,0.20%
07/05/2022,47.22,47.5,47.5,46.84,86.15K,-0.79%
07/04/2022,47.6,47.79,47.79,47.32,397.93K,-0.59%
07/01/2022,47.88,47.88,47.98,47.6,10.07K,0.00%
06/30/2022,47.88,47.41,47.88,47.41,129.86K,1.00%
06/29/2022,47.41,47.32,47.6,47.32,113.01K,0.20%
06/28/2022,47.32,47.22,47.98,47.22,914.47K,-0.79%
06/27/2022,47.69,47.69,48.07,47.22,1.64M,-1.75%
06/24/2022,48.54,48.64,48.64,47.22,1.45M,1.98%
06/23/2022,47.6,49.11,49.11,47.6,123.97K,-1.18%
06/22/2022,48.17,47.69,48.64,47.69,10.04K,0.59%
06/21/2022,47.88,48.17,48.64,47.5,7.13K,0.60%
06/20/2022,47.6,47.5,47.6,47.22,1.08M,0.20%
06/17/2022,47.5,47.69,48.35,47.41,161.79K,-0.59%
06/16/2022,47.79,48.64,48.64,47.79,16.67K,-0.59%
06/15/2022,48.07,49.02,49.02,48.07,558.49K,-2.12%
06/13/2022,49.11,49.11,49.11,48.17,63.73K,1.36%
06/10/2022,48.45,49.96,49.96,48.45,482.89K,-3.02%
06/09/2022,49.96,49.11,49.96,48.64,72.26K,0.19%
06/08/2022,49.87,49.58,50.05,49.11,41.58K,0.57%
06/07/2022,49.58,49.58,49.96,49.11,413.19K,0.00%
06/06/2022,49.58,49.96,49.96,49.58,257.47K,-0.38%
06/03/2022,49.77,50.05,50.05,49.77,13.51K,-0.94%
06/02/2022,50.24,50.24,50.24,49.77,66.65K,0.38%
06/01/2022,50.05,51.75,51.75,49.68,32.33K,-2.03%
05/31/2022,51.09,49.68,52.89,49.68,603.79K,2.85%
05/30/2022,49.68,50.72,50.72,49.58,62.25K,-0.38%
05/27/2022,49.87,50.53,50.81,49.58,31.74K,-0.38%
05/26/2022,50.05,50.05,50.34,49.11,81.81K,0.00%
05/25/2022,50.05,51,51,50.05,49.61K,-0.56%
05/24/2022,50.34,50.53,50.53,50.24,75.93K,0.00%
05/23/2022,50.34,50.53,51.47,50.24,39.01K,-1.30%
05/20/2022,51,50.53,51,50.05,31.53K,0.93%
05/19/2022,50.53,51.47,51.47,50.05,83.38K,-2.19%
05/18/2022,51.66,52.42,52.42,51.09,195.26K,-0.36%
05/17/2022,51.85,51.38,52.42,51.38,268.97K,1.86%
05/13/2022,50.9,50.05,51.94,49.3,370.00K,3.65%
05/12/2022,49.11,47.22,49.87,47.22,348.54K,3.79%
05/09/2022,47.32,48.54,48.64,47.22,2.09M,-2.53%
